Id,SalePrice
1461,124256.17
1462,155204.61
1463,186524.44
1464,197814.58
1465,188837.97
1466,175331.89
1467,170080.6
1468,170578.73
1469,181402.77
1470,122433.25
1471,196269.3
1472,97317.49
1473,99734.1
1474,155305.33
1475,140065.45
1476,373939.4
1477,263987.06
1478,309819.97
1479,256651.5
1480,488168.44
1481,311793.44
1482,205800.58
1483,166031.38
1484,174152.83
1485,169962.25
1486,194799.16
1487,339924.44
1488,229143.69
1489,222816.5
1490,210315.75
1491,184329.33
1492,86335.22
1493,194349.86
1494,281321.62
1495,274429.56
1496,230516.62
1497,188638.58
1498,166550.62
1499,159648.86
1500,152853.67
1501,179068.14
1502,163907.64
1503,311679.38
1504,226003.12
1505,230087.05
1506,191575.3
1507,235161.02
1508,208083.31
1509,167374.47
1510,148740.92
1511,145128.81
1512,166119.4
1513,150277.19
1514,172729.12
1515,194706.69
1516,164581.25
1517,151270.0
1518,124994.72
1519,224264.66
1520,136823.0
1521,141213.62
1522,167201.67
1523,112786.73
1524,118015.59
1525,127321.266
1526,125006.66
1527,102478.47
1528,128608.805
1529,148023.56
1530,178524.47
1531,104567.84
1532,103297.18
1533,137117.75
1534,116344.7
1535,157827.69
1536,113784.04
1537,71564.99
1538,171791.67
1539,191020.22
1540,90452.766
1541,150765.8
1542,141004.53
1543,238316.94
1544,73516.41
1545,109820.85
1546,131205.53
1547,137235.48
1548,137933.3
1549,121447.695
1550,148435.23
1551,108753.75
1552,137355.78
1553,151492.92
1554,115872.74
1555,169883.44
1556,82814.94
1557,109556.02
1558,89110.664
1559,99321.695
1560,138570.9
1561,133747.44
1562,127427.73
1563,123658.836
1564,153385.16
1565,153290.66
1566,224147.9
1567,64459.53
1568,227806.69
1569,144193.08
1570,136117.94
1571,135582.61
1572,152464.14
1573,248248.62
1574,106453.32
1575,220419.56
1576,228789.2
1577,203786.72
1578,150249.58
1579,144968.75
1580,183362.8
1581,154325.36
1582,127206.82
1583,334526.16
1584,237564.92
1585,140059.45
1586,67887.336
1587,90599.11
1588,150248.17
1589,97121.09
1590,134131.94
1591,104379.47
1592,117617.445
1593,130740.414
1594,137174.22
1595,105924.914
1596,246267.72
1597,177887.83
1598,208694.52
1599,177137.97
1600,163463.61
1601,64377.227
1602,110069.69
1603,87592.76
1604,278314.66
1605,237060.73
1606,169977.16
1607,158187.52
1608,215659.52
1609,190888.05
1610,150473.2
1611,140447.7
1612,158650.2
1613,152788.64
1614,132016.14
1615,88491.32
1616,73132.17
1617,88796.94
1618,127925.83
1619,138996.61
1620,142288.44
1621,133039.28
1622,144948.69
1623,312254.75
1624,227099.53
1625,121438.97
1626,168150.08
1627,190463.16
1628,280219.34
1629,178919.78
1630,391977.88
1631,231941.03
1632,239963.14
1633,171328.02
1634,182500.05
1635,179422.77
1636,153903.2
1637,173918.0
1638,203169.84
1639,175738.17
1640,258961.56
1641,176763.73
1642,220386.19
1643,208070.62
1644,228949.77
1645,192133.72
1646,154179.34
1647,158187.25
1648,134805.47
1649,138098.81
1650,117738.58
1651,122284.41
1652,94077.59
1653,95975.98
1654,151125.12
1655,150494.33
1656,149801.67
1657,155546.03
1658,148660.89
1659,144680.25
1660,153594.38
1661,480197.16
1662,407720.7
1663,386099.72
1664,501219.1
1665,316614.9
1666,324300.56
1667,365705.4
1668,328139.8
1669,307002.28
1670,348628.78
1671,273768.38
1672,533253.4
1673,292779.22
1674,251193.6
1675,184908.12
1676,193245.67
1677,219411.94
1678,489465.4
1679,413399.3
1680,331756.78
1681,266249.03
1682,298951.56
1683,179508.61
1684,166803.2
1685,177963.12
1686,170609.31
1687,165835.6
1688,181518.34
1689,187136.03
1690,182612.38
1691,176482.75
1692,269457.9
1693,167435.81
1694,182063.4
1695,167278.89
1696,285159.34
1697,173431.61
1698,415420.44
1699,326640.0
1700,249459.98
1701,257209.39
1702,248884.98
1703,244717.23
1704,301988.75
1705,236660.55
1706,455508.34
1707,229857.72
1708,224545.27
1709,290559.34
1710,216809.03
1711,250920.62
1712,242778.6
1713,255647.14
1714,230272.97
1715,209022.86
1716,176428.83
1717,169068.05
1718,132896.06
1719,196814.39
1720,246297.11
1721,156926.4
1722,123687.78
1723,157336.89
1724,208422.33
1725,237441.55
1726,192920.66
1727,156984.28
1728,172960.28
1729,162173.6
1730,169815.58
1731,123554.516
1732,132379.38
1733,121032.555
1734,114002.97
1735,136415.75
1736,116286.63
1737,370484.0
1738,216729.62
1739,260561.03
1740,227087.2
1741,194826.5
1742,176841.78
1743,172026.0
1744,316980.66
1745,245681.06
1746,230919.89
1747,219716.58
1748,223062.81
1749,150474.3
1750,131427.34
1751,232514.0
1752,114549.81
1753,140322.39
1754,215097.39
1755,166579.72
1756,132654.27
1757,120973.78
1758,143830.53
1759,161286.44
1760,162066.56
1761,141546.03
1762,158679.83
1763,173425.77
1764,114208.81
1765,168990.77
1766,169468.36
1767,204093.36
1768,143273.67
1769,180135.11
1770,142293.97
